price_min,price_max,threshold,hold_period,total_trades,wins,losses,win_rate,games_traded,trades_per_game,total_gross_pl_dollars,total_fees_dollars,total_net_pl_dollars,mean_net_pl_pct,median_net_pl_pct,std_net_pl_pct,avg_win_pct,avg_loss_pct,sharpe_ratio,max_drawdown_pct,win_loss_ratio,t_statistic,p_value,win_rate_p_value,win_rate_ci_low,win_rate_ci_high,is_significant,mc_prob_profitable,mc_mean_ci_low,mc_mean_ci_high,mc_sharpe_ci_low,mc_sharpe_ci_high
1,5,15,5,2839,1154,1685,0.40648115533638607,250,11.356,907.0,1194.5885000000003,-287.5885000000001,3.987111835153221,-13.58,120.04626534195714,72.13226328711725,-42.68321740850644,0.5272420429824494,-4548.318000000007,1.6899443778280372,1.7696706984397699,0.0768893763315349,1.9416316880719282e-23,0.38855159455073707,0.4246634553591244,False,0.964,-0.35429053510626,8.189099781319708,-0.05651690236353253,0.9826637069365102
1,15,25,5,3246,1398,1848,0.43068391866913125,277,11.71841155234657,1173.0,2172.4703000000004,-999.4703000000003,3.3186341908929684,-13.440000000000001,126.5873580007088,72.1428330872553,-48.746425363822695,0.4161686079955797,-5731.709893634143,1.4799615058706708,1.493630953510928,0.1353693273092953,2.9434236551543116e-15,0.41374120752368887,0.4477904992681568,False,0.936,-0.7464035761572348,7.59141173723607,-0.1022512853320352,0.8827012892493359
1,15,12,15,5815,2692,3123,0.46294067067927774,261,22.279693486590038,2580.0,5167.808800000001,-2587.8088000000007,2.0743229090198962,-12.880000000000003,258.9494168223089,85.69788715821284,-70.00849328016595,0.12716327281501477,-20681.742816683272,1.2241070067778739,0.610852402082811,0.5413211772909972,1.686893804469473e-08,0.4501535053595593,0.4757767673501993,False,0.708,-4.528881107441215,9.68208062451437,-0.3594309116182305,0.4908241769918977
1,5,10,3,2912,1224,1688,0.42032967032967034,258,11.286821705426357,1167.0,1228.9039000000002,-61.903900000000206,5.07655460164835,-13.440000000000001,103.94744420102278,62.250813997821346,-36.38155766192733,0.775274530099699,-3029.852333333319,1.7110541163817663,2.6354266382465608,0.008447735777514821,8.114922691261616e-18,0.40251788503044506,0.43835137807837177,True,0.996,1.1542340086996317,8.920148553399722,0.1963416230690245,1.2672053227394213
1,5,8,3,2912,1224,1688,0.42032967032967034,258,11.286821705426357,1167.0,1228.9039000000002,-61.903900000000206,5.07655460164835,-13.440000000000001,103.94744420102278,62.250813997821346,-36.38155766192733,0.775274530099699,-3029.852333333319,1.7110541163817663,2.6354266382465608,0.008447735777514821,8.114922691261616e-18,0.40251788503044506,0.43835137807837177,True,0.999,1.4988923434638262,8.794203600045783,0.23896466818238363,1.273657953286125
1,5,12,5,2839,1154,1685,0.40648115533638607,250,11.356,907.0,1194.5885000000003,-287.5885000000001,3.987111835153221,-13.58,120.04626534195714,72.13226328711725,-42.68321740850644,0.5272420429824494,-4548.318000000007,1.6899443778280372,1.7696706984397699,0.0768893763315349,1.9416316880719282e-23,0.38855159455073707,0.4246634553591244,False,0.977,0.14699723787718424,8.081162268110832,0.022139591970478996,0.9869462556822269
1,10,10,15,4743,2157,2586,0.454775458570525,228,20.80263157894737,2171.0,3409.6237000000006,-1238.6237000000006,4.594554400971856,-13.020000000000001,282.5521141899868,94.6892738279209,-70.55405727881511,0.258133938193544,-17005.868059523833,1.342081199579046,1.1198797692949574,0.2628217174980775,5.010426602887524e-10,0.44064650909677916,0.46897760543883016,False,0.85,-3.6945590709700875,12.657084420984638,-0.24711795698586594,0.6235997098240773
1,10,12,5,5024,2173,2851,0.4325238853503185,267,18.816479400749063,1906.0,3334.4094000000005,-1428.4094000000005,-0.6883285839083536,-13.160000000000002,106.93263214847542,57.77857435043353,-45.25114165873295,-0.102184686754373,-12778.055035714286,1.2768423565128535,-0.4562578639479572,0.6482242859906817,1.1142432506105746e-21,0.4188811590291954,0.4462697202192867,False,0.307,-3.6020103366144123,2.467116272507043,-0.5876769526967401,0.33769933592192936
1,20,25,5,3591,1560,2031,0.4344193817878028,292,12.297945205479452,1438.0,2848.7676,-1410.7676000000004,2.3541331672535826,-13.440000000000001,123.47346714522564,70.21200245959515,-49.76712537339283,0.3026618296717672,-4131.582116459263,1.4108108903781058,1.14252335194898,0.25331273577967045,4.02247751735525e-15,0.4182857635403059,0.4506931593425647,False,0.87,-1.4812959238507346,6.478909615933506,-0.2009229722354515,0.8020897146252531
1,10,20,5,3457,1479,1978,0.4278275961816604,265,13.045283018867925,1550.0,1981.4102000000003,-431.41020000000026,3.5861038151255085,-13.440000000000001,121.26460789308103,70.14788552164161,-46.18380272882662,0.46944969527370545,-3964.7655476190503,1.5188850067960578,1.7387553563291331,0.08216685362163235,2.1668760770233916e-17,0.411423796595953,0.4443916153674607,False,0.964,-0.231186352196604,7.510916215775672,-0.03265727221149314,0.9374389713703659
