price_min,price_max,threshold,hold,win_rate,gross_pl,fee,net_pl,trades,avg_win,avg_loss,price_range_label
90,99,25,2,0.6896551724137931,1.1724137931034484,0.7276500000000007,0.4447637931034477,29,4.8,6.888888888888889,90-99
10,15,12,3,0.5882352941176471,1.9705882352941173,1.5312500000000002,0.4393382352941171,34,5.85,3.5714285714285716,10-15
1,10,15,5,0.6842105263157895,1.1578947368421053,0.7276500000000001,0.4302447368421052,38,2.8846153846153846,2.5833333333333335,1-10
15,20,10,2,0.6153846153846154,2.446153846153847,2.02125,0.4249038461538466,65,8.075,6.56,15-20
1,20,15,3,0.6785714285714286,1.7380952380952381,1.3156500000000002,0.42244523809523793,84,4.649122807017544,4.407407407407407,1-20
10,20,18,3,0.6,2.2,1.7850000000000001,0.41500000000000004,25,6.4,4.1,10-20
1,20,20,7,0.8333333333333334,1.6944444444444446,1.3156500000000002,0.37879444444444443,36,2.533333333333333,2.5,1-20
90,95,20,2,0.4,1.35,0.9712499999999997,0.37875000000000036,20,10.5,4.75,90-95
5,10,8,15,0.8333333333333334,1.3333333333333335,0.9712500000000001,0.3620833333333334,30,2.36,3.8,5-10
85,99,15,18,0.9473684210526315,1.3684210526315788,1.0303999999999998,0.338021052631579,19,1.7222222222222223,5.0,85-99
1,10,15,3,0.7,1.0599999999999996,0.7276500000000001,0.3323499999999995,50,3.3142857142857145,4.2,1-10
1,20,12,15,0.7358490566037735,1.6226415094339612,1.3156500000000002,0.30699150943396103,53,4.589743589743589,6.642857142857143,1-20
80,90,12,5,0.6904761904761905,2.0833333333333335,1.7850000000000006,0.2983333333333329,84,4.5,3.3076923076923075,80-90
1,10,8,15,0.875,1.025,0.7276500000000001,0.2973499999999998,40,1.7142857142857142,3.8,1-10
15,25,15,2,0.5111111111111111,2.5333333333333328,2.24,0.29333333333333256,45,10.0,5.2727272727272725,15-25
1,25,25,7,0.8181818181818182,1.8636363636363642,1.5834000000000001,0.28023636363636406,22,2.9444444444444446,3.0,1-25
1,10,15,20,1.0,1.0,0.7276500000000001,0.27234999999999987,6,1.0,0.0,1-10
1,10,25,15,1.0,1.0,0.7276500000000001,0.27234999999999987,2,1.0,0.0,1-10
90,99,30,18,1.0,1.0,0.7276500000000007,0.2723499999999993,2,1.0,0.0,90-99
80,90,20,15,0.9444444444444444,2.0555555555555554,1.7850000000000006,0.27055555555555477,18,2.411764705882353,4.0,80-90
1,15,12,3,0.6631578947368421,1.2947368421052627,1.0304000000000002,0.26433684210526254,95,3.746031746031746,3.53125,1-15
85,95,18,2,0.48717948717948717,1.5128205128205128,1.26,0.25282051282051277,39,7.894736842105263,4.55,85-95
10,20,12,3,0.5733333333333334,2.0266666666666664,1.7850000000000001,0.24166666666666625,75,6.837209302325581,4.4375,10-20
1,20,20,3,0.6481481481481481,1.5555555555555558,1.3156500000000002,0.2399055555555556,54,4.914285714285715,4.631578947368421,1-20
5,10,15,20,1.0,1.2,0.9712500000000001,0.2287499999999999,5,1.2,0.0,5-10
1,20,18,7,0.813953488372093,1.5348837209302326,1.3156500000000002,0.2192337209302324,43,2.4857142857142858,2.625,1-20
10,20,20,18,0.8571428571428571,1.9999999999999996,1.7850000000000001,0.2149999999999994,7,2.8333333333333335,3.0,10-20
10,20,20,15,0.8571428571428571,1.9999999999999973,1.7850000000000001,0.2149999999999972,7,7.333333333333333,30.0,10-20
1,20,12,3,0.6323529411764706,1.5294117647058822,1.3156500000000002,0.21376176470588204,136,4.8023255813953485,4.1,1-20
90,95,18,2,0.4090909090909091,1.1818181818181825,0.9712499999999997,0.21056818181818282,22,9.333333333333334,4.461538461538462,90-95
85,99,15,12,0.8857142857142857,1.2285714285714278,1.0303999999999998,0.198171428571428,35,3.161290322580645,13.75,85-99
85,99,25,2,0.6774193548387096,1.2258064516129026,1.0303999999999998,0.19540645161290282,31,5.0,6.7,85-99
1,25,18,18,0.7777777777777778,1.7777777777777777,1.5834000000000001,0.19437777777777754,18,3.7857142857142856,5.25,1-25
95,99,20,3,0.8846153846153846,0.5769230769230766,0.4074000000000004,0.16952307692307628,26,1.3043478260869565,5.0,95-99
1,20,20,15,0.9090909090909091,1.4545454545454533,1.3156500000000002,0.13889545454545305,11,4.6,30.0,1-20
80,90,18,20,0.8461538461538461,1.923076923076923,1.7850000000000006,0.13807692307692232,13,3.0,4.0,80-90
