entry_idx,exit_idx,entry_price,exit_price,hold_period,raw_pl,fees,net_pl,is_winner,confidence,game_id
1326,1341,74.0,1.0,15,73.0,1.4161000000000001,71.5839,True,0.7763436145608146,0022501218
1343,1345,1.0,1.0,3,0.0,0.1386,-0.1386,False,0.617027194024682,0022501218
1196,1211,48.0,48.0,15,0.0,3.4944000000000006,-3.4944000000000006,False,0.5888359898798463,0022501219
1216,1231,41.0,17.0,15,24.0,2.6810000000000005,21.319,True,0.5514142849739586,0022501219
1233,1248,16.0,22.0,15,6.0,2.1420000000000003,3.8579999999999997,True,0.535240283825771,0022501219
1255,1270,13.0,9.0,15,-4.0,1.3650000000000002,-5.365,False,0.7143724373909469,0022501219
1271,1286,13.0,2.0,15,11.0,0.9289000000000001,10.0711,True,0.8664506796819853,0022501219
1289,1292,1.0,2.0,3,1.0,0.20650000000000002,0.7935,True,0.7076375936451287,0022501219
1244,1259,24.0,30.0,15,-6.0,2.7468000000000004,-8.7468,False,0.6719517638954384,0022501220
1260,1275,29.0,30.0,15,1.0,2.9112999999999998,-1.9112999999999998,False,0.5254638089447401,0022501220
1279,1294,24.0,31.0,15,-7.0,2.7741000000000002,-9.7741,False,0.5685950173908264,0022501220
1295,1310,33.0,30.0,15,3.0,3.0177,-0.01770000000000005,False,0.5080886713643268,0022501220
1313,1328,34.0,13.0,15,21.0,2.3625,18.6375,True,0.5528816762282988,0022501220
1329,1344,13.0,23.0,15,10.0,2.0314000000000005,7.9685999999999995,True,0.5214334640737079,0022501220
1346,1361,26.0,6.0,15,20.0,1.7416000000000003,18.258399999999998,True,0.6939692303043999,0022501220
1366,1369,3.0,5.0,3,-2.0,0.5362000000000001,-2.5362,False,0.9371078366720408,0022501220
1356,1371,39.0,37.0,15,2.0,3.2970000000000006,-1.2970000000000006,False,0.5795429278353615,0022501221
1372,1387,41.0,40.0,15,1.0,3.3733000000000004,-2.3733000000000004,False,0.5868302112894473,0022501221
1388,1403,47.0,41.0,15,6.0,3.4370000000000003,2.5629999999999997,True,0.519202088014544,0022501221
1404,1419,42.0,36.0,15,6.0,3.3180000000000005,2.6819999999999995,True,0.5721499158826259,0022501221
1427,1442,33.0,28.0,15,-5.0,2.9589000000000003,-7.9589,False,0.5129217689540563,0022501221
1443,1458,31.0,32.0,15,-1.0,3.0205,-4.0205,False,0.6621744520067676,0022501221
1463,1478,18.0,29.0,15,11.0,2.4745,8.525500000000001,True,0.5322749569419981,0022501221
1479,1494,39.0,91.0,15,-52.0,2.2386,-54.2386,False,0.7392350932299828,0022501221
1496,1505,94.0,99.0,15,5.0,0.46410000000000046,4.5359,True,0.7518113963960588,0022501221
1433,1448,54.0,57.0,15,-3.0,3.4545000000000003,-6.4545,False,0.6606051026780974,0022501222
1449,1464,52.0,39.0,15,-13.0,3.4125000000000005,-16.4125,False,0.5989063424518857,0022501222
1465,1480,39.0,54.0,15,15.0,3.4041000000000006,11.5959,True,0.5474740760956659,0022501222
1481,1496,50.0,43.0,15,-7.0,3.4657000000000004,-10.4657,False,0.5189586708559556,0022501222
1497,1512,42.0,47.0,15,5.0,3.4489000000000005,1.5510999999999995,True,0.5354576413264561,0022501222
1513,1528,47.0,51.0,15,4.0,3.4930000000000003,0.5069999999999997,True,0.5407648773685924,0022501222
1529,1544,49.0,67.0,15,18.0,3.2970000000000006,14.703,True,0.5457193657018093,0022501222
1545,1560,64.0,67.0,15,3.0,3.1605000000000003,-0.1605000000000003,False,0.6017947512449555,0022501222
1561,1576,68.0,75.0,15,-7.0,2.8357,-9.8357,False,0.6780482558579504,0022501222
1577,1589,74.0,99.0,15,25.0,1.4161000000000004,23.5839,True,0.6944465013312934,0022501222
1234,1249,36.0,30.0,15,-6.0,3.0827999999999998,-9.082799999999999,False,0.5688192781770062,0022501223
1250,1265,30.0,35.0,15,5.0,3.0625,1.9375,True,0.5085276258169079,0022501223
1267,1282,39.0,52.0,15,13.0,3.4125000000000005,9.587499999999999,True,0.5576966763004414,0022501223
1294,1309,44.0,69.0,15,25.0,3.222100000000001,21.7779,True,0.6570035100319568,0022501223
1310,1325,69.0,40.0,15,-29.0,3.1773000000000007,-32.1773,False,0.5294358846694796,0022501223
1326,1341,34.0,67.0,15,33.0,3.1185,29.8815,True,0.5914317279982925,0022501223
1342,1357,76.0,99.0,15,-23.0,1.3461000000000003,-24.3461,False,0.5249770542992395,0022501223
1402,1417,48.0,49.0,15,-1.0,3.4965,-4.4965,False,0.5383477781866667,0022501224
1506,1521,51.0,51.0,15,0.0,3.4986000000000006,-3.4986000000000006,False,0.552352030135502,0022501224
1524,1539,43.0,41.0,15,-2.0,3.4090000000000007,-5.409000000000001,False,0.5868930513827643,0022501224
1540,1555,39.0,50.0,15,11.0,3.4153000000000002,7.5847,True,0.5388906874294116,0022501224
1556,1571,45.0,40.0,15,-5.0,3.4125000000000005,-8.412500000000001,False,0.5733413252378963,0022501224
1573,1588,39.0,37.0,15,-2.0,3.2970000000000006,-5.297000000000001,False,0.5052232836065572,0022501224
1589,1604,30.0,22.0,15,-8.0,2.6712000000000002,-10.6712,False,0.5644781202835084,0022501224
1605,1620,28.0,47.0,15,-19.0,3.1549000000000005,-22.1549,False,0.7476694507456051,0022501224
1621,1636,47.0,6.0,15,-41.0,2.1385,-43.1385,False,0.638555840426097,0022501224
1637,1652,7.0,50.0,15,-43.0,2.2057,-45.2057,False,0.6289826589747918,0022501224
1653,1668,48.0,99.0,15,51.0,1.8165000000000004,49.1835,True,0.6796319572670124,0022501224
1469,1484,52.0,52.0,15,0.0,3.4944000000000006,-3.4944000000000006,False,0.5019582386855699,0022501225
1541,1556,50.0,57.0,15,7.0,3.4657000000000004,3.5342999999999996,True,0.5768925715034741,0022501225
1557,1572,56.0,62.0,15,6.0,3.3740000000000006,2.6259999999999994,True,0.5810267483293992,0022501225
1573,1588,59.0,53.0,15,-6.0,3.4370000000000003,-9.437000000000001,False,0.533790305334388,0022501225
1589,1604,53.0,32.0,15,-21.0,3.2669000000000006,-24.2669,False,0.5414221035316231,0022501225
1605,1620,34.0,35.0,15,-1.0,3.1633000000000004,-4.1633000000000004,False,0.6000501397707557,0022501225
1622,1637,37.0,40.0,15,-3.0,3.3117000000000005,-6.3117,False,0.5631116383053553,0022501225
1638,1653,44.0,53.0,15,-9.0,3.4685000000000006,-12.4685,False,0.5903855329279801,0022501225
1654,1669,49.0,45.0,15,-4.0,3.4818000000000007,-7.481800000000001,False,0.5844971917074085,0022501225
1670,1685,38.0,18.0,15,-20.0,2.6824000000000003,-22.6824,False,0.6067993026740314,0022501225
1686,1701,19.0,30.0,15,-11.0,2.5473000000000003,-13.5473,False,0.6562364731013408,0022501225
1702,1714,15.0,1.0,12,-14.0,0.9618,-14.9618,False,0.5301426557913179,0022501225
1409,1424,36.0,36.0,15,0.0,3.2256,-3.2256,False,0.5265451193678727,0022501226
1453,1468,34.0,36.0,15,2.0,3.1836,-1.1836000000000002,False,0.5278642080527758,0022501226
1491,1506,36.0,36.0,15,0.0,3.2256,-3.2256,False,0.5191474598699931,0022501226
1519,1534,38.0,28.0,15,10.0,3.0604000000000005,6.9395999999999995,True,0.5327142416336562,0022501226
1537,1552,29.0,52.0,15,-23.0,3.1885000000000003,-26.1885,False,0.5263719778984112,0022501226
1553,1568,51.0,64.0,15,13.0,3.3621000000000003,9.6379,True,0.5732784114337689,0022501226
1569,1584,63.0,61.0,15,-2.0,3.2970000000000006,-5.297000000000001,False,0.6053542298209299,0022501226
1591,1606,54.0,61.0,15,7.0,3.4041000000000006,3.5958999999999994,True,0.617943539129153,0022501226
1607,1622,61.0,82.0,15,21.0,2.6985000000000006,18.3015,True,0.6730356592532418,0022501226
1623,1638,80.0,99.0,15,19.0,1.1893000000000002,17.8107,True,0.5949855172493371,0022501226
1451,1466,38.0,35.0,15,3.0,3.2417000000000007,-0.2417000000000007,False,0.5088937823540353,0022501227
1468,1483,30.0,40.0,15,10.0,3.1500000000000004,6.85,True,0.5157197569230937,0022501227
1484,1499,43.0,38.0,15,5.0,3.3649000000000004,1.6350999999999996,True,0.5151567055497906,0022501227
1500,1515,40.0,29.0,15,11.0,3.1213000000000006,7.878699999999999,True,0.5403987513475084,0022501227
1523,1538,30.0,39.0,15,-9.0,3.1353,-12.1353,False,0.5032548454036604,0022501227
1539,1554,40.0,32.0,15,8.0,3.2032000000000007,4.796799999999999,True,0.5579619046140728,0022501227
1556,1571,32.0,84.0,15,52.0,2.4640000000000004,49.536,True,0.5077003687239399,0022501227
1572,1587,88.0,99.0,15,-11.0,0.8085000000000001,-11.8085,False,0.6004799804300905,0022501227
1305,1320,54.0,43.0,15,11.0,3.4545000000000003,7.5455,True,0.5292902497561711,0022501228
1321,1336,40.0,49.0,15,9.0,3.4293000000000005,5.5706999999999995,True,0.5461112100031557,0022501228
1338,1353,45.0,54.0,15,9.0,3.4713000000000003,5.5287,True,0.5407941465425394,0022501228
1354,1369,56.0,60.0,15,-4.0,3.4048000000000003,-7.4048,False,0.5894611729651701,0022501228
1370,1385,59.0,51.0,15,-8.0,3.4426000000000005,-11.4426,False,0.5432614464552473,0022501228
1388,1403,50.0,53.0,15,3.0,3.4937000000000005,-0.49370000000000047,False,0.5281062857563178,0022501228
1404,1419,57.0,57.0,15,0.0,3.4314000000000004,-3.4314000000000004,False,0.5445154416311041,0022501228
1420,1435,50.0,19.0,15,-31.0,2.8273000000000006,-33.8273,False,0.6414856983162611,0022501228
1437,1452,12.0,9.0,15,-3.0,1.3125,-4.3125,False,0.6147414023208778,0022501228
1456,1459,2.0,1.0,3,-1.0,0.20650000000000002,-1.2065000000000001,False,0.521600185235873,0022501228
1460,1463,1.0,15.0,3,14.0,0.9618,13.0382,True,0.5566148183867455,0022501228
1464,1467,18.0,15.0,3,3.0,1.9257,1.0743,True,0.9312755869269433,0022501228
1468,1481,10.0,1.0,15,-9.0,0.6993000000000003,-9.699300000000001,False,0.608646051907009,0022501228
1285,1300,43.0,46.0,15,3.0,3.454500000000001,-0.4545000000000008,False,0.5982218433746522,0022501229
1301,1316,50.0,37.0,15,13.0,3.3817000000000004,9.6183,True,0.6018253504205925,0022501229
1318,1333,37.0,27.0,15,-10.0,3.0114,-13.0114,False,0.5073944658869083,0022501229
1334,1349,28.0,25.0,15,3.0,2.7237000000000005,0.27629999999999955,True,0.5789780874695586,0022501229
1350,1365,25.0,34.0,15,9.0,2.8833,6.1167,True,0.5653327190814142,0022501229
1367,1382,35.0,42.0,15,7.0,3.2977000000000007,3.7022999999999993,True,0.522746789162196,0022501229
1384,1399,40.0,13.0,15,27.0,2.4717000000000002,24.5283,True,0.5453864202322402,0022501229
1400,1415,13.0,5.0,15,-8.0,1.1242,-9.1242,False,0.5416665140319633,0022501229
1417,1420,3.0,2.0,3,-1.0,0.34090000000000004,-1.3409,False,0.5284880053382202,0022501229
1421,1424,2.0,1.0,3,-1.0,0.20650000000000002,-1.2065000000000001,False,0.522457590276671,0022501229
1425,1428,2.0,1.0,3,1.0,0.20650000000000002,0.7935,True,0.8914013385630514,0022501229
